name,year,age,sex,title,affiliation,location,area,bio,affil_short,title_short,area_short
Dylan C. Penningroth,2012-06-15,41,Male,Historian,Northwestern University,"Evanston, Illinois",American History,"
                  
	About Dylan's Work

	Dylan C. Penningroth is a historian who examines shifting concepts of property ownership and kinship in order to shed light on long-obscured aspects of African American life under slavery and in the half-century following slavery’s abolition. In his book The Claims of Kinfolk (2003), he elucidates the informal customs that slaves in the antebellum South used to recognize ownership of property, even while they were themselves considered by law to be property at the time. He also traces the interactions of these extra-legal, vernacular customs with the formal realm of law after emancipation by teasing stories of claims and disputes from such sources as the Freedman’s Bureau and Southern Claims Commission records compiled by the federal government after the Civil War. In addition to demonstrating that ownership of land, livestock, and other material possessions was much more widespread among slave communities than previously believed, Penningroth’s research draws out the underlying social relations and reliance on family members’ labor that made such ownership possible. To broaden the scope of his study, Penningroth extended his investigation across the Atlantic to Africa’s Gold Coast and found informative historical connections among societies that dealt with legacies of slavery and emancipation in the late nineteenth century. His current projects expand upon this transatlantic approach, exploring the importance of lineage and issues of inheritance for slave-descended people in early twentieth-century Ghana and mining Southern court records to uncover the experiences of African Americans who made use of local courts during the decades that followed emancipation. By compiling evidence from vast and widely scattered archives, Penningroth is painting a more vivid picture of relationships between parents and children, husbands and wives, and illuminating the ways communities of slaves and their descendents recognized what belonged to whom.

	Biography

	Dylan C. Penningroth received a B.A. (1993) from Yale University and an M.A. (1996) and a Ph.D. (2000) from Johns Hopkins University. He was affiliated with the University of Virginia (1999–2002) prior to his appointment as associate professor in the Department of History at Northwestern University in 2003. Since 2007, he has also been an American Bar Foundation research professor. 

	Recent News

	In fall 2015, Dylan Penningroth joined the faculty of the University of California, Berkeley, as Professor of Law and History.

	Updated August 2015

              ",Northwestern University,Historian,American History
Eddie Williams,1988-06-15,56,Male,None Provided,None Provided,"Washington, District of Columbia","Civil Rights and Civil Liberties, Civil Society and Community Organizing","
                  
	About Eddie's Work

	Eddie Williams is a policy analyst and an advocate for full political participation by black Americans and other minority populations.

	Williams is the president emeritus, after serving thirty-two years, at the Joint Center for Political and Economic Studies, a research and public policy institution that is a major force in increasing the political participation of black Americans and other minorities, since its founding in 1970.  Its research findings have been instrumental in enabling black leaders, politicians, and others to highlight the needs of the nation’s poor and disadvantaged.  The center’s principal areas of work also include economic advancement and health policy, with a focus on promoting relationships across racial and ethnic lines.

	Biography

	Williams is president and chief executive officer of Eddie Williams & Associates, LLC, and president emeritus of the Joint Center for Political and Economic Studies, headquartered in Washington, D.C.  His career has included journalism; appointments in the U.S. Senate (1959-60) and the U.S. Department of State (1961-68); and a vice-presidency (1968-72) at the University of Chicago.  In 1981, he co-founded the Committee on Policy for Racial Justice, and in 1982, the National Coalition on Black Voter Participation. 

	Williams received a B.S. (1954) from the University of Illinois, and attended Atlanta University (1957) and Howard University (1960). 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Civil Rights and Civil Liberties
Edet Belzberg,2005-06-15,35,Female,None Provided,None Provided,"New York, New York",Moving Image,"
                  
	About Edet's Work

	Edet Belzberg is a documentary filmmaker whose films are distinguished by her choice of subjects, in-depth treatment of time and place, and elegant storytelling. In Belzberg’s signature film, Children Underground, she follows and films a group of homeless children living in a train station in Bucharest, Romania. Raw, graceful, and insightful, Children Underground personalizes the often dangerous and always chaotic and uncertain world of youngsters casually abandoned by their families and the larger society. Overcoming the obstacles of language, culture, and place, she records the individual and collective daily struggles of the five main characters with an unflinching, compassionate eye, managing at the same time to win the trust of children whose capacity for trust is all but depleted. Critically-acclaimed throughout the U.S. and Europe, the film has focused international attention on the social and institutional disregard of child welfare in post-communist Romania. Belzberg's characteristically intense and detailed treatment of the lives of children again defines her most recent and just completed film, Gymnast. While the film focuses on a completely different group of children in a totally different setting (the top three American girls preparing for the 2000 Olympics), Gymnast is a bold and original treatment of children under extreme conditions as it explores the motivations of individual stakeholders in the Olympic success of these teenagers. Future projects of this young filmmaker promise other enduring revelations into the lives of overlooked subjects and the realities of under-explored conditions.

	Biography

	Edet Belzberg received a B.A. (1991) from the University of Colorado, Boulder, and an M.A. (1997) from Columbia University’s School of International and Public Affairs. She has been a frequent lecturer at Columbia's School of Journalism and has taught at New York University’s Tisch School of the Arts (2001).

              ",None Provided,None Provided,Moving Image
Edgar Meyer,2002-06-15,41,Male,None Provided,None Provided,"Nashville, Tennessee",Music Performance and Composition,"
                  
	ABout Edgar's Work

	Edgar Meyer, a bassist and composer, is a multifaceted musician whose expansive artistry is altering the way string instruments are played. As a bass virtuoso, he accepts no limits for the instrument and no boundaries for his music. He is equally comfortable in jazz, folk, country, and classical styles. His music is a complex, intricate amalgam, creating a unique musical voice that broadens the technical potential of the bass and stretches the instrument’s stylistic possibilities. His recent recording, Bach: Unaccompanied Cello Suites Performed on Double Bass, transforms the bass into a solo classical instrument. His collaborations with established figures in classical music have infused elements of bluegrass into the traditional canon. Blending the lines between musical genres as both a performer and a composer, Meyer is crafting a uniquely American lexicon for symphony orchestras and chamber ensembles. His music communicates an inventiveness and intelligence, yet remains beautiful and infectious, opening the doors to new and changing displays of creative musicianship.

	Biography

	Edgar Meyer received a B.M. (1984) in double bass from Indiana University. From 1986 until 1992, Meyer was a member of the progressive bluegrass band, Strength in Numbers. In 1994, he joined the Chamber Music Society of Lincoln Center. Meyer is currently Visiting Professor of Double Bass at the Royal Academy of Music in London and Adjunct Associate Professor of Double Bass at the Blair School of Music, Vanderbilt University. In 1994, Meyer became the only bassist to win the Avery Fisher Career Grant and, in 2000, the only bassist to receive the Avery Fisher Prize. He is the winner of numerous competitions and honors, including Grammy awards for best classical crossover album in 1999 for Appalachian Journey and in 2002 for Perpetual Motion. Meyer’s own compositions have enjoyed premieres by the Emerson String Quartet, the St. Paul Chamber Orchestra, and the Boston Symphony Orchestra.

              ",None Provided,None Provided,Music Performance and Composition
Edith Widder,2006-06-15,55,Female,Oceanographer,Ocean Research and Conservation Association,"Ft. Pierce, Florida","Oceanography, Atmospheric Sciences, and Meteorology","
                  
	About Edith's Work

	Edith Widder is a biologist and deep-sea explorer who combines expertise in oceanographic research and technological innovation with commitment to reversing the worldwide trend of marine ecosystem degradation. A specialist in bioluminescence (the light chemically produced by many ocean organisms), she has been a leader in helping to design and invent new submersible vehicles, instrumentation, and equipment to enable unobtrusive deep-sea observation of environments. Working with engineers, she has built a number of unique devices that enable scientists to see the ocean in new ways, including HIDEX, a bathyphotometer that measures how much bioluminescence there is in the oceans, and LoLAR, the most sensitive deep-sea light meter. Most recently, Widder helped to design a remotely operated camera system, known as Eye in the Sea (EITS), which, when deployed on the sea floor, automatically detects and measures the bioluminescence given off by nearby organisms. EITS has produced footage of rare sharks, jellyfish, and squid in their natural habitats. In 2005, Widder left her post at the Harbor Branch Oceanographic Institution to establish and lead a new organization, the Ocean Research and Conservation Association (Ocean Recon). A key effort of Ocean Recon is the development of state-of-the-art sensors and technological systems for evaluating water quality and ecosystem health. While translating complex scientific issues into engineerable solutions, Edith Widder is fostering greater understanding of ocean life as a means to better, more informed ocean stewardship.

	Biography

	Edith Widder received a B.A. (1973) from Tufts University and an M.A. (1977) and Ph.D. (1982) from the University of California, Santa Barbara. She was a senior scientist and director of the Bioluminescence Department at Harbor Branch Oceanographic Institution in Ft. Pierce, Florida (1989-2005), prior to co-founding and directing the Ocean Research and Conservation Association, also in Ft. Pierce. She has held adjunct appointments at Johns Hopkins University, Monterey Bay Aquarium Research Institute, Florida Atlantic University, Florida Institute of Technology, and Bigelow Laboratory for Ocean Scientists.

              ",Ocean Research and Conservation Association,Oceanographer,Oceanography
Edward Hirsch,1998-06-15,48,Male,None Provided,None Provided,"Houston, Texas","Poetry, Literary History and Criticism","
                  
	About Edward's Work

	Edward Hirsch is a poet, essayist, and literary critic who combines an evenness of tone and style with an urgency of message.

	His verse expresses strong emotion without sentimentality, while his essays and criticism are lucid, generous, and original. In his volume of poetry, On Love, he imagines what various figures from the past (some well known, some unknown) would tell the reader about love. What results is perceptive, absorbing, and unique. He is the author of many volumes of poetry, including For the Sleepwalkers (1981), Wild Gratitude (1986), The Night Parade (1989), Earthly Measures (1994), On Love (1998), and Lay Back the Darkness (2003). He has also published two works of literary criticism, On Reading Poetry (1998) and The Demon and the Angel: Searching for the Source of Artistic Inspiration (2002). Hirsch has contributed essays, poems, and reviews to periodicals such as the New Yorker and the New Republic.

	Biography

	Hirsch is the president of the John Simon Guggenheim Memorial Foundation. He was previously a professor of creative writing at the University of Houston and an associate professor of English at the Wayne State University.

	Hirsch received a B.A. (1972) from Grinnell College and a Ph.D. (1978) from the University of Pennsylvania.

	Last updated January 1, 2005

              ",None Provided,None Provided,Poetry
Edward P. Jones,2004-06-15,53,Male,None Provided,None Provided,"Arlington, Virginia",Fiction and Nonfiction Writing,"
                  
	About Edward's Work

	Edward P. Jones is a fiction writer who renders in story a mysterious incongruity of the human experience—how faith, dignity, and love often survive, and sometimes thrive, in the face of systemic adversity. His debut collection of fourteen short stories, Lost in the City (1992), deals with African American working class and underclass experiences in mid-twentieth-century, inner-city Washington, D.C. In a realistic and evocative style, Jones depicts characters that, despite the constant and unacknowledged despair of their existences, live rich, varied, and compelling lives. A multi-layered, historical novel, The Known World (2003), is Jones’s second major work. In this sprawling saga set in antebellum Virginia, Jones examines the world of free blacks who owned black slaves. Told from several different viewpoints in an intricate structure full of foreshadowing, he provides a broad view of the complex system of slavery, capturing the experience of those who suffered its deadening effects. Jones works painstakingly to compose artful, morally complicated fiction that challenges, provokes, and enriches.

	Biography

	Edward P. Jones received a B.A. (1972) from the College of the Holy Cross and an M.F.A. (1981) from the University of Virginia. He worked for Tax Notes, a trade publication (1983¬2002), and has held part-time teaching appointments at the University of Virginia, Princeton University, George Mason University, and the University of Maryland. He is the author of two books as well as numerous stories that have appeared in highly regarded anthologies and in such publications as Essence, Ploughshares, Callaloo, and The New Yorker.

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Edward V. Roberts,1984-06-15,45,Male,None Provided,None Provided,"Oakland, California",Civil Rights and Civil Liberties,"
                  
	About Edward's Work

	Edward Roberts was a leader of the Independent Living/Civil Rights movement of people with disabilities.

	In 1962, Roberts was the first person with severe disabilities (as a result of polio) to attend the University of California, Berkeley, where he led a successful effort to make the university sensitive to the needs of people with disabilities.  In 1970, he co-founded and directed the Center for Independent Living, a model of advocacy and service programs. As director of the California Department of Rehabilitation from 1975-83, Roberts implemented disability rights on the state level and advocated their adoption on the national level.  In 1983 he co-founded and worked until his death with Disabled Peoples’ International (DPI), for which he served as the first North American Chair.

	Biography

	Roberts was president of the World Institute on Disability (WID), a nonprofit organization, which he co-founded in 1983, dedicated to the promotion of independence and full inclusion in society of people with disabilities.  The first public policy center controlled by people with disabilities, WID is committed to public education and to converting policy into action.

	Roberts received a B.A. (1964) and an M.A. (1966) from the University of California, Berkeley. 

	Last updated January 1, 2005.

              ",None Provided,None Provided,Civil Rights and Civil Liberties
Edward Witten,1982-06-15,31,Male,None Provided,None Provided,"Princeton, New Jersey",Physics,"
                  
	About Edward's Work

	Edward Witten is a theoretical physicist who works at the intersection of the fields of elementary particle physics and mathematical physics.

	His research is focused on elementary particle theory and gravity, with a specific emphasis on string theory as a tool for unifying forces of nature, and on relations between gauge theory, gravity, and geometry.  Witten’s work has played a significant role in shaping cosmological theory and has advanced our understanding of the physical and mathematical implications of supersymmetry.  He is the co-author of Current Algebra and Anomalies (1986) and of the two-volume series Superstring Theory (1988).  He has published over 250 articles that have appeared in such journals as Communications in Mathematical Physics, Nature, Nuclear Physics B, and the Physical Review Letters.

	Biography

	Witten is the Charles Simonyi Professor of Mathematical Physics in the School of Natural Sciences at the Institute of Advanced Study in Princeton, New Jersey, where he became a member of the faculty in 1987.  He served previously as a professor of physics at Princeton University (1980-1987).

	Witten received a B.A. (1971) from Brandeis University and an M.A. (1974) and Ph.D. (1976) from Princeton University.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Physics
Edwidge Danticat,2009-06-15,40,Female,None Provided,None Provided,"Miami, Florida",Fiction and Nonfiction Writing,"
                  
	About Edwidge's Work

	Edwidge Danticat is a novelist whose moving and insightful depictions of Haiti’s complex history are enriching our understanding of the Haitian immigrant experience. In works that chronicle the lives of ordinary Haitians, she evokes themes of family, isolation, and community that, while grounded in a specific cultural milieu, resonate with a wide range of audiences. With graceful, deceptively simple prose, she recounts the 1937 massacre of Haitian workers in the Dominican Republic in The Farming of Bones (1999); told through the eyes of a young domestic servant, the story of the atrocity becomes one of cultural and spiritual survival. In The Dewbreaker (2004), a series of seemingly disconnected stories are revealed to revolve around the same traumatic events. Danticat challenges readers of these stories to understand and forgive a perpetrator of horrific atrocities committed in a distant time and place, illustrating how events in Haiti continue to haunt the immigrants of the diaspora. Her most recent book, a memoir entitled Brother, I’m Dying (2007), pays tribute to her father and uncle through an unflinching account of the triumphs and tragedies they experienced in Haiti and the United States. In these and other works, Danticat provides a nuanced portrait of the intersection between nation and diaspora, home and exile, and reminds us of the power of human resistance, renewal, and endurance against great obstacles.

	Biography

	Edwidge Danticat received a B.A. (1990) from Barnard College and an M.F.A. (1993) from Brown University. Her additional books include the novel Breath, Eyes, Memory (1994); a collection of stories, Krik? Krak! (1995); a memoir, After the Dance: A Walk through Carnival in Jacmel, Haiti (2002); and two novels for young adults, Behind the Mountain (2002) and Anacaona: Golden Flower, Haiti, 1490 (2005). Danticat has been a visiting professor of creative writing at New York University (1996-1997) and the University of Miami (2000 and 2008).

	Recent News

	Since 2009, Edwidge Danticat has published several books, including Eight Days (2010), a picture book; Create Dangerously (2010), a collection of essays; and Claire of the Sea Light (2013), a novel. Danticat also appeared in the independent film Stones in the Sun (2014) and worked on a documentary called Girl Rising (2013). She has two forthcoming publications: Untwine, a young adult novel, and Mama’s Nightingale, a picture book.

	Updated July 2015

              ",None Provided,None Provided,Fiction and Nonfiction Writing
Edwin Hutchins,1985-06-15,37,Male,None Provided,None Provided,"San Diego, California",Psychology and Cognitive Science,"
                  
	About Edwin's Work

	Edwin Hutchins studies human cognition from an anthropological perspective, focusing on the nature of cognitive activity in real-world settings. 

	Hutchins’ interdisciplinary method involves the application of insights from cognitive psychology, artificial intelligence, linguistics, and anthropology.  He has applied this approach in researching topics such as land litigation in Papua New Guinea, techniques of traditional navigation in the Western Pacific, modern navigation aboard U.S. Naval vessels, and the design of airline cockpits.  He is the author of Culture and Inference: A Trobriand Case Study (1980), in which he explores forms of logic among technologically primitive people, and Cognition in the Wild (1995), in which his extended analysis of ship navigation illustrates how anthropological methods can be combined with cognitive theory to produce a new reading of cognitive science. 

	Biography

	He was a research scientist at the U.S. Navy Personnel Research and Development Center (1980-1988) where he designed computerized training systems for the instruction of sailors.  Since 1988, Hutchins has been a professor in the Department of Cognitive Science at the University of California, San Diego, where he also directs the Distributed Cognition and Human-Computer Interaction Laboratory.

	Hutchins received a B.A. (1971) and a Ph.D. (1978) in cultural anthropology from the University of California, San Diego.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Psychology and Cognitive Science
Elaine H. Pagels,1981-06-15,38,Female,None Provided,None Provided,"New York, New York",Cultural/Intellectual History and History of Religion,"
                  
	About Elaine's Work

	Elaine Pagels is a historian of religion, with a focus on the origins of Christianity.

	Her research centers on the history of hermeneutics, specifically on how controversies over scriptural interpretation relate to certain social and political situations.  She draws primarily upon Greek and Latin sources, as well as upon Coptic Gnostic texts discovered in Egypt in 1945.  In The Gnostic Gospels (1979), Pagels envisions what Christianity might have become if Gnostic texts had been incorporated into the early-Christian canon.  This work also examines the ways that women have been viewed in Christian history.  Her book, The Origin of Satan (1995), explores the emergence of the figure of Satan in Jewish and early-Christian literature, as this relates to social reality and social conflict.  Her other books include The Johannine Gospel in Gnostic Exegesis (1973), Paul the Gnostic: Gnostic Exegesis of the Pauline Letters (1975), Adam, Eve, and the Serpent (1988), and Beyond Belief: The Secret Gospel of Thomas (2004).

	Biography

	Pagels is the Harrington Spear Paine Professor of Religion at Princeton University.  She taught previously at Columbia University.

	Pagels received a B.A. (1964) and an M.A. (1965) from Stanford University, and a Ph.D. (1970) from Harvard University.

	Last updated January 1, 2005.

              ",None Provided,None Provided,Cultural/Intellectual History and History of Religion
Eleanor Wilner,1991-06-15,54,Female,None Provided,None Provided,"Swannanoa, North Carolina",Poetry,"
                  
	About Eleanor's Work

	Eleanor Wilner is a poet whose work integrates myth and history.

	Her poems are known for their fluid narrative line.  Eschewing a personal, confessional mode, she views her role as poet as that of a bearer of cultural memory and draws frequently from her studies of comparative mythology, history, and anthropology.  Wilner’s poems are a retelling of the past through which she seeks to alter the collective memory of her readers.  Her books of poetry include Maya (1979), Shekhinah (1984), Sarah’s Choice (1989), Otherwise (1993), Reversing the Spell: New and Selected Poems (1998), Precessional (1998), and The Girl with Bees in Her Hair (2004).  She is also the author of a book on visionary imagination, Gathering the Winds (1975).  Her poems have appeared in numerous anthologies and journals, including The Norton Anthology of Poetry (1996), the New Republic, the New Yorker, and the Southern Review.

	Biography

	Wilner teaches in the M.F.A. Program for Writers at Warren Wilson College, Swannanoa, North Carolina.  She has also been a visiting writer at numerous institutions, including Smith College and Northwestern University and is the former editor of the American Poetry Review.

	Wilner received a B.A. (1959) from Goucher College and a Ph.D. (1972) from the Johns Hopkins University.

	Last updated January 1, 2005

              ",None Provided,None Provided,Poetry
Elinor R. Ochs,1998-06-15,54,Female,None Provided,None Provided,"Los Angeles, California",Linguistics,"
                  
	About Elinor's Work 

	Elinor Ochs is a scholar in linguistic anthropology whose work has made significant contributions to linguistics, sociocultural anthropology, and psychology.

	Ochs is a founder of the field of language socialization--the study of the way children acquire language and are shaped by the culture around them. She has played a major role in bringing the study of emotion, as it is constructed in and through language, to the center of linguistic anthropology. Her early work on women’s language usage in Malagasay, her monograph on childhood in Samoa, and her essays on socialization are mainstays in the literature on linguistic anthropology. Her efforts are revitalizing the field of applied linguistics, using more sophisticated social science techniques to study how language is used. Ochs is the author of Culture and Language Development: Language Acquisition and Language Socialization in a Samoan Village (1988) and co-author of Acquisition of Conversational Competence (1983), Constructing Panic (1995), and Living Narrative: Creating Lives in Everyday Storytelling (2001).

	Biography

	Ochs is a Distinguished Professor of Anthropology and Linguistics at the University of California, Los Angeles, where she also serves as director of the Sloan Center on Everyday Lives of Families.

	Ochs received a B.A. (1966) from George Washington University and a Ph.D. (1974) from the University of Pennsylvania.

	Last updated January 1, 2005

              ",None Provided,None Provided,Linguistics
Eliot Wigginton,1989-06-15,54,Male,None Provided,None Provided,"Rabun Gap, Georgia",Education and Training,"
                  
	About Eliot's Work

	Eliot Wigginton is an educator who has developed educational methods and practices that encourage students to observe, evaluate, and write about their own culture.

	His belief that creativity is inherent in all students is reflected in his teaching methods.  Wigginton also trains teachers around the nation to use a style of instruction in their classrooms that is collaborative, problem-solving, democratic, and project-based.  Foxfire magazine, a quarterly publication devoted to Appalachian history and culture, was started in 1966 by Wigginton and his ninth- and tenth-grade English students at Rabun County High School in Georgia.  Articles from the magazine make up the contents of the ten-volume series of Foxfire books.  The royalties from this series support the work of Foxfire Fund, Inc., a non-profit educational corporation that Wigginton founded in 1968 to support a teacher-outreach program.

	Biography

	In addition to his work with the Fox Fire Fund, Wigginton taught writing at Keiser College in Tallahassee, Florida.  

	Wigginton received an A.B. (1965) and an M.A. (1966) from Cornell University, and an M.A. (1969) from The Johns Hopkins University.

              ",None Provided,None Provided,Education and Training
Elissa Hallem,2012-06-15,34,Female,Neurobiologist,"University of California, Los Angeles","Los Angeles, California",Neuroscience and Neurobiology,"
                  
	About Elissa's Work

	Elissa Hallem is a neuroscientist who explores the physiology and behavioral consequences of odor detection.  As a graduate student, she undertook expansive studies of olfaction in fruit flies that revealed several important, and sometimes unexpected, insights.  Starting with a mutant fly strain that lacks any odorant receptor in a well-characterized subset of olfactory receptor neurons, Hallem produced more than twenty different transgenic fruit fly lines, each expressing a single, known odorant receptor gene in these neurons.  She then measured in each strain the electrophysiologic response to a set of more than one hundred different odorants.  Among other findings, her analyses demonstrated that some odorant receptor types are highly selective and others are more broadly tuned, with an unexpectedly high fraction of odorant/receptor combinations inhibiting (rather than increasing) neuron firing rates; as a whole, these data contribute significantly to explaining and predicting the neural representation of odors.  As a postdoctoral fellow, she shifted her attention to the connection between chemoreception and behavior.  Using as a model system the nematode worm C. elegans (in which the distribution and connections of every neuron are well-characterized), she identified the molecular mechanism for carbon dioxide sensitivity and the neural circuits that mediate its avoidance behavior.  While free-living, adult nematodes may find carbon dioxide detection important for avoiding predators, some juvenile parasitic nematodes use carbon dioxide to locate host organisms to invade.  These parasites are endemic to human populations, particularly in tropical regions; they infect more than 20 percent of people across the globe.  Through her basic research, Hallem is applying her experience and expertise in invertebrate chemoreception to identify interventions, either pharmacologic or behavioral, that may eventually reduce the scourge of parasitic infections in humans.

	Biography

	Elissa Hallem received a B.A. (1999) from Williams College and a Ph.D. (2005) from Yale University.  She was a postdoctoral fellow at the California Institute of Technology (2005–2010) prior to her appointment as an assistant professor in the Department of Microbiology, Immunology, and Molecular Genetics at the University of California at Los Angeles.  Her scientific articles have appeared in such publications as Nature, Cell, Annual Review of Entomology, and PNAS.

              ","University of California, Los Angeles",Neurobiologist,Neuroscience and Neurobiology
Elizabeth Anderson,2019-06-15,59,Female,Philosopher,"Department of Philosophy, University of Michigan","Ann Arbor, Michigan",Philosophy,"
                  

	About Elizabeth's Work

	Elizabeth Anderson is a philosopher examining how evolving concepts of freedom and equality are experienced in our daily lives. She combines a high level of analytical rigor with a pragmatist methodology in her investigations of the ways various institutions, policies, and social practices structure relations among people and serve to promote or hinder conditions of democratic equality and human flourishing.

	In an extensive body of work, Anderson formulates principles based on empirical evidence about problems of practical importance and urgency—from the persistence of racial segregation to the authoritarian aspects of the modern workplace—instead of engaging in thought experiments or posing hypothetical questions about an ideal world. She has made pivotal contributions to a number of philosophical debates on such subjects as the ethical limitations of markets, the effects of gendered distributions of power on the production and reception of knowledge, and the concept of equality. As she articulates in her 1999 paper “What Is the Point of Equality?” Anderson understands equality to be fundamentally concerned with equal relations among people rather than the equal distribution of goods, such as income and wealth. She builds upon this landmark paper in her book The Imperative of Integration (2010), which incorporates decades of economic, sociological, and psychological research on the effects of racial segregation as a cause of status inequality between black and white Americans. In her lectures-turned-book Private Government: How Employers Rule Our Lives (and Why We Don’t Talk About It) (2017), Anderson calls attention to the ways that many employers—from corporate firms and retail stores to processing plants and restaurants—exercise a far more sweeping scope of power and arbitrary authority over workers’ lives, speech, and privacy than is fully acknowledged in public discourse surrounding the liberating effects of a free market economy. Her argument offers a valuable lens through which to consider how workers might be given more of a voice in workplace governance, particularly for those at the lower levels of the labor market.

	Anderson is currently working on a history of egalitarianism, focusing on the history of the abolitionist movement in Britain as a central case study to demonstrate how the collective updating of normative beliefs can lead to progressive change and the broad transformation of moral consciousness. By applying a pragmatist’s approach to critical issues facing American society and the world at large, Anderson is demonstrating how philosophy conducted in close engagement with social science and historical research can offer profound, practical insights into how we might live together more justly.

	Biography

	Elizabeth Anderson received a BA (1981) from Swarthmore College and an AM (1984) and PhD (1987) from Harvard University. She joined the faculty of the University of Michigan in 1987, where she is currently John Dewey Distinguished University Professor of Philosophy and Women’s Studies and Arthur F. Thurnau Professor. Anderson’s additional publications include Value in Ethics and Economics (1993) as well as numerous journal articles and essays in anthologies and collections.

              ",University of Michigan,Philosopher,Philosophy
Elizabeth Diller,1999-06-15,45,Female,None Provided,None Provided,"Princeton, New Jersey",Architecture and Environmental Design,"
                  
	About Elizabeth's Work

	Elizabeth Diller and Ricardo Scofidio are architects who have created an alternative form of architectural practice that unites design, performance, and electronic media with cultural and architectural theory and criticism.

	Their work explores how space functions in our culture and illustrates that architecture, when understood as the physical manifestation of social relationships, is everywhere, not just in buildings. “We Interrupt This Program” is a collaborative proposal commissioned by CNN for the atrium of its headquarters in Atlanta. “Cold War” proposes to use an ice hockey rink as a video-projection surface for computer-animated videos. Recent projects include an expansion of the Lincoln Center for the Performing Arts and collaboration on the design of a public park plan for the High Line, a 1.6 mile elevated railroad platform on Manhattan’s West Side. In 2003, the Whitney Museum hosted Scanning: The Aberrant Architecture of Diller + Scofidio, their first major retrospective exhibition.

	Biography

	Diller is a professor of architecture at Princeton University and taught previously at The Cooper Union (1981-1990). She is a principal of the firm Diller Scofidio + Renfro, which she co-founded in 1979. They have published Flesh: Architectural Probes (1995) and Blur: The Making of Nothing (2002).

	Diller attended the Cooper Union School of Art and received a B.Arch. (1979) from its School of Architecture.

	Last updated January 1, 2005

              ",None Provided,None Provided,Architecture and Environmental Design
Elizabeth LeCompte,1995-06-15,51,Female,None Provided,None Provided,"New York, New York",Theatrical Arts,"
                  
	About Elizabeth's Work

	Elizabeth LeCompte is best known for her work with the New York City-based experimental theater company, the Wooster Group, of which she is a founding member and the artistic director.

	Integrating media and a multiplicity of other texts into the theatrical environment, LeCompte constantly experiments with form and content.  She is known for deconstructing and reassembling classic text and imagery in the manner of a collage artist or filmmaker.  Her highly inventive productions contain film, video, dialogue, recorded sound, and architectonic designs.  Since 1975, she has conceived and constructed seventeen works for the theatre with the Wooster Group, including the trilogy, “Three Places in Rhode Island,” Route 1 & 9 (1981), Frank Dell’s The Temptation of Saint Antony (1987), Brace Up! (1991), Fish Story (1993), The Emperor Jones (1994), The Hairy Ape (1995), House/Lights (1999), and To You, The Birdie! (Phèdre) (2001).

	Biography

	Prior to forming the Wooster Group, LeCompte was a performing member of another experimental theatre ensemble, the Performance Group (1970-1975), while also serving as assistant director to Richard Schechner.  She has lectured and taught workshops at the Pratt Institute, New York University, Connecticut College, and American University.

	LeCompte received a B.S. (1967) from Skidmore College.

	Last updated January 1, 2005

              ",None Provided,None Provided,Theatrical Arts
Elizabeth Murray,1999-06-15,59,Female,None Provided,None Provided,"Annandale-on-Hudson, New York",2-D Visual Art,"
                  
	About Elizabeth's Work

	Elizabeth Murray is a painter noted for creating three-dimensional, often large, canvases.

	Ordinary objects such as shoes or teacups and saucers appear in her paintings and serve as metaphors for the life of the emotions. These conceptually sophisticated and abstract pieces, which speak directly from her personal experience, lead many to regard her as one of the most original artists of her generation. Murray’s paintings, often multipaneled canvases, are conceptually sophisticated and abstract. Following neither prevailing fashion nor critical theory, her work often tells complex stories. Joy, domesticity, memory, and pain are the themes of her work, and they are represented in her paintings in ways that are poignant, humorous, and sometimes angry. She continues to experiment stylistically in her paintings, exploring different kinds of depths, such as spatial illusion. 

	Biography

	Murray is a professor of studio arts at Bard College. She has held visiting faculty appointments at the California Institute of the Arts, Princeton University, and Yale University, among other institutions. Her work is in the permanent collections of major museums, including the Metropolitan Museum of Art, the Museum of Modern Art, the Milwaukee Art Museum, and the Art Institute of Chicago.

	Murray received a B.F.A (1962) from the Art Institute of Chicago and an M.F.A. (1964) from Mills College. 

	Last updated January 1, 2005

              ",None Provided,None Provided,2-D Visual Art
